date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:09	9580/9580	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2010:39:18%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/colors/golden.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/colors/golden.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:10	178196/178196	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Nov%202021%2011:28:46%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/profile-img.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/profile-img.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:10	5215/5215	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Jan%202022%2009:54:02%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/responsive-dark.png	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/responsive-dark.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:11	169570/169570	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2010:57:10%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/about-img.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/about-img.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:11	10291/10291	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2002:53:16%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/client-01.png	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/client-01.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:12	11630/11630	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2002:53:28%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/client-02.png	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/client-02.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:13	59616/59616	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Aug%202021%2005:12:56%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/client-03.png	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/client-03.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:14	137035/137035	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2009:48:06%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item1.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item1.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:14	128667/128667	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2009:52:06%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item2.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item2.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:15	74922/74922	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2009:54:38%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item3.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item3.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:16	9281/9281	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2011:21:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/portfolio-01-dark.html	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/portfolio-01-dark.html	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:17	101765/101765	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2009:56:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item4.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item4.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:17	128530/128530	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2009:58:28%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item5.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item5.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:18	103067/103067	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2010:00:20%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item6.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item6.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:18	21125/21125	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2011:21:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/webdesigner-blog-singel-dark.html	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/webdesigner-blog-singel-dark.html	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:18	62134/62134	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2010:20:16%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item1.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item1.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:19	61992/61992	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2010:18:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item2.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item2.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:20	72571/72571	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2010:16:20%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item3.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item3.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:20	85254/85254	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2010:17:20%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item4.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-item4.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:21	1155/1155	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Nov%202021%2006:24:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/location-map.png	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/location-map.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:21	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263a1e484-4d7%22	https://retrina.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:21	88145/88145	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20Sep%202019%2016:51:52%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/jquery-3.4.1.min.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/jquery-3.4.1.min.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:21	148216/148216	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Nov%202021%2008:59:38%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/bootstrap.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/bootstrap.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:23	45483/45483	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Nov%202021%2008:37:36%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/jquery.mCustomScrollbar.concat.min.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/jquery.mCustomScrollbar.concat.min.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:23	3761/3761	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Nov%202021%2005:43:52%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/jquery.countTo.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/jquery.countTo.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:24	44342/44342	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2021%20Apr%202018%2000:52:10%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/owl.carousel.min.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/owl.carousel.min.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:24	35456/35456	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2030%20Jun%202021%2019:54:02%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/isotope.pkgd.min.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/isotope.pkgd.min.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:25	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20Aug%202021%2018:31:48%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/jquery.magnific-popup.min.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/jquery.magnific-popup.min.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:26	33385/33385	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Jun%202022%2005:10:02%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/js/arshia.js	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/js/arshia.js	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:27	91824/91824	---M--	200	added ('OK')	font/woff2	date:Fri,%2005%20Nov%202021%2015:13:08%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/fonts/bootstrap-icons.woff2?a97b3594ad416896e15824f6787370e0	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/fonts/bootstrap-icons50ab.woff2	(from https://retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap-icons.css)
10:03:28	123356/123356	---M--	200	added ('OK')	font/woff	date:Fri,%2005%20Nov%202021%2015:13:08%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/fonts/bootstrap-icons.woff?a97b3594ad416896e15824f6787370e0	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/fonts/bootstrap-icons50ab.woff	(from https://retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap-icons.css)
10:03:28	827/827	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Dec%202022%2004:33:28%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/owl.video.play.png	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/owl.video.play.png	(from https://retrina.com/demo/arshia/arshia-plus/assets/css/owl.carousel.min.css)
10:03:29	827/827	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Dec%202022%2004:33:29%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/blog-header-img.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/blog-header-img.jpg	(from https://retrina.com/demo/arshia/arshia-plus/assets/css/style.css)
10:03:30	9277/9277	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2011:21:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/portfolio-03-dark.html	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/portfolio-03-dark.html	(from https://retrina.com/demo/arshia/arshia-plus/portfolio-01-dark.html)
10:03:30	9277/9277	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2011:21:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/portfolio-02-dark.html	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/portfolio-02-dark.html	(from https://retrina.com/demo/arshia/arshia-plus/portfolio-01-dark.html)
10:03:31	52048/52048	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Nov%202021%2007:32:38%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/blog-img-05.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/blog-img-05.jpg	(from https://retrina.com/demo/arshia/arshia-plus/portfolio-01-dark.html)
10:03:31	67528/67528	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Nov%202021%2007:32:38%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/blog-img-04.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/blog-img-04.jpg	(from https://retrina.com/demo/arshia/arshia-plus/portfolio-01-dark.html)
10:03:32	53962/53962	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Nov%202021%2007:32:38%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/blog-img-03.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/blog-img-03.jpg	(from https://retrina.com/demo/arshia/arshia-plus/portfolio-01-dark.html)
10:03:33	362480/362480	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Nov%202021%2005:40:30%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-single.jpg	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/blog-single.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-blog-singel-dark.html)
